,date,Calories,TotalIntensity,AverageIntensity,StepTotal
0,2016-04-12 00:00:00,73,0,0.0,0
1,2016-04-12 01:00:00,73,0,0.0,0
2,2016-04-12 02:00:00,73,0,0.0,0
3,2016-04-12 03:00:00,73,0,0.0,0
4,2016-04-12 04:00:00,73,0,0.0,0
5,2016-04-12 05:00:00,73,0,0.0,0
6,2016-04-12 06:00:00,96,7,0.116667,209
7,2016-04-12 07:00:00,169,26,0.433333,964
8,2016-04-12 08:00:00,136,17,0.283333,834
9,2016-04-12 09:00:00,110,8,0.133333,343
10,2016-04-12 10:00:00,127,12,0.2,656
11,2016-04-12 11:00:00,292,52,0.866667,2546
12,2016-04-12 12:00:00,730,158,2.633333,8043
13,2016-04-12 13:00:00,119,9,0.15,321
14,2016-04-12 14:00:00,84,1,0.016667,12
15,2016-04-12 15:00:00,190,32,0.533333,1024
16,2016-04-12 16:00:00,160,21,0.35,649
17,2016-04-12 17:00:00,236,51,0.85,1648
18,2016-04-12 18:00:00,353,101,1.683333,3476
19,2016-04-12 19:00:00,166,26,0.433333,815
20,2016-04-12 20:00:00,149,22,0.366667,600
21,2016-04-12 21:00:00,165,24,0.4,745
22,2016-04-12 22:00:00,123,14,0.233333,301
23,2016-04-12 23:00:00,73,0,0.0,0
24,2016-04-13 00:00:00,73,0,0.0,0
25,2016-04-13 01:00:00,73,0,0.0,0
26,2016-04-13 02:00:00,73,0,0.0,0
27,2016-04-13 03:00:00,73,0,0.0,0
28,2016-04-13 04:00:00,73,0,0.0,0
29,2016-04-13 05:00:00,73,0,0.0,0
30,2016-04-13 06:00:00,73,0,0.0,0
31,2016-04-13 07:00:00,177,27,0.45,1158
32,2016-04-13 08:00:00,123,13,0.216667,549
33,2016-04-13 09:00:00,123,14,0.233333,607
34,2016-04-13 10:00:00,148,19,0.316667,945
35,2016-04-13 11:00:00,134,18,0.3,675
36,2016-04-13 12:00:00,378,109,1.816667,3922
37,2016-04-13 13:00:00,98,8,0.133333,270
38,2016-04-13 14:00:00,114,15,0.25,392
39,2016-04-13 15:00:00,112,9,0.15,341
40,2016-04-13 16:00:00,144,14,0.233333,708
41,2016-04-13 17:00:00,344,99,1.65,1168
42,2016-04-13 18:00:00,571,160,2.666667,2978
43,2016-04-13 19:00:00,176,38,0.633333,894
44,2016-04-13 20:00:00,130,15,0.25,395
45,2016-04-13 21:00:00,114,11,0.183333,208
46,2016-04-13 22:00:00,95,7,0.116667,127
47,2016-04-13 23:00:00,73,0,0.0,0
48,2016-04-14 00:00:00,73,0,0.0,0
49,2016-04-14 01:00:00,73,0,0.0,0
50,2016-04-14 02:00:00,73,0,0.0,0
51,2016-04-14 03:00:00,73,0,0.0,0
52,2016-04-14 04:00:00,73,0,0.0,0
53,2016-04-14 05:00:00,73,0,0.0,0
54,2016-04-14 06:00:00,90,6,0.1,163
55,2016-04-14 07:00:00,169,24,0.4,1061
