,date,Value
0,2016-04-13 02:41:00,74
1,2016-04-13 02:41:05,106
2,2016-04-13 02:41:10,102
3,2016-04-13 02:41:20,98
4,2016-04-13 02:42:00,75
5,2016-04-13 02:42:10,73
6,2016-04-13 02:42:25,73
7,2016-04-13 02:42:40,73
8,2016-04-13 02:42:55,73
9,2016-04-13 02:43:10,73
10,2016-04-13 02:43:20,72
11,2016-04-13 02:43:30,71
12,2016-04-13 02:43:35,72
13,2016-04-13 02:43:45,72
14,2016-04-13 02:43:55,74
15,2016-04-13 02:44:00,79
16,2016-04-13 02:44:05,80
17,2016-04-13 02:44:10,81
18,2016-04-13 02:44:15,82
19,2016-04-13 02:44:20,84
20,2016-04-13 02:44:25,86
21,2016-04-13 02:44:30,87
22,2016-04-13 02:44:35,88
23,2016-04-13 02:44:40,90
24,2016-04-13 02:44:45,93
25,2016-04-13 02:44:50,95
26,2016-04-13 02:44:55,98
27,2016-04-13 02:45:00,99
28,2016-04-13 02:45:15,99
29,2016-04-13 02:45:25,100
30,2016-04-13 02:45:40,100
31,2016-04-13 02:45:45,98
32,2016-04-13 02:45:50,89
33,2016-04-13 02:45:55,90
34,2016-04-13 02:46:05,92
35,2016-04-13 02:46:20,94
36,2016-04-13 02:46:35,94
37,2016-04-13 02:46:40,95
38,2016-04-13 02:46:50,94
39,2016-04-13 02:47:00,72
40,2016-04-13 02:47:05,70
41,2016-04-13 02:47:10,68
42,2016-04-13 02:47:20,67
43,2016-04-13 02:47:35,67
44,2016-04-13 02:47:50,66
45,2016-04-13 02:47:55,66
46,2016-04-13 02:48:05,67
47,2016-04-13 02:48:10,73
48,2016-04-13 02:48:20,72
49,2016-04-13 02:48:30,68
50,2016-04-13 02:48:40,68
51,2016-04-13 02:48:50,70
52,2016-04-13 02:49:00,68
53,2016-04-13 02:49:10,67
54,2016-04-13 02:49:20,65
55,2016-04-13 02:49:35,65
56,2016-04-13 02:49:40,65
57,2016-04-13 02:49:55,65
58,2016-04-13 02:50:10,69
59,2016-04-13 02:50:20,65
60,2016-04-13 02:50:30,63
61,2016-04-13 02:50:45,63
62,2016-04-13 02:50:50,65
63,2016-04-13 02:50:55,64
64,2016-04-13 02:51:00,64
65,2016-04-13 02:51:15,64
66,2016-04-13 02:51:20,67
67,2016-04-13 02:51:25,67
68,2016-04-13 02:51:40,67
69,2016-04-13 02:51:50,71
70,2016-04-13 02:52:00,72
71,2016-04-13 02:52:10,69
72,2016-04-13 02:52:15,69
73,2016-04-13 02:52:30,70
74,2016-04-13 02:52:40,75
75,2016-04-13 02:52:50,77
76,2016-04-13 02:53:00,74
77,2016-04-13 02:53:10,71
78,2016-04-13 02:53:15,71
79,2016-04-13 02:53:30,69
80,2016-04-13 02:53:40,68
81,2016-04-13 02:53:55,68
82,2016-04-13 02:54:10,68
83,2016-04-13 02:54:20,69
84,2016-04-13 02:54:30,68
85,2016-04-13 02:54:45,68
86,2016-04-13 02:54:55,68
87,2016-04-13 02:55:10,72
88,2016-04-13 02:55:20,72
89,2016-04-13 02:55:25,73
90,2016-04-13 02:55:40,73
91,2016-04-13 02:55:55,73
92,2016-04-13 02:56:00,73
93,2016-04-13 02:56:15,73
94,2016-04-13 02:56:25,74
95,2016-04-13 02:56:35,75
96,2016-04-13 02:56:40,75
97,2016-04-13 02:56:45,77
98,2016-04-13 02:56:50,78
99,2016-04-13 02:56:55,80
100,2016-04-13 02:57:00,81
101,2016-04-13 02:57:05,84
102,2016-04-13 02:57:10,85
103,2016-04-13 02:57:15,86
104,2016-04-13 02:57:20,87
105,2016-04-13 02:57:25,90
106,2016-04-13 02:57:30,91
107,2016-04-13 02:57:45,90
108,2016-04-13 02:57:55,93
109,2016-04-13 02:58:00,90
110,2016-04-13 02:58:05,87
111,2016-04-13 02:58:15,86
112,2016-04-13 02:58:30,86
113,2016-04-13 02:58:40,72
114,2016-04-13 02:58:45,70
115,2016-04-13 02:58:50,70
116,2016-04-13 02:59:05,70
117,2016-04-13 02:59:10,70
118,2016-04-13 02:59:20,73
119,2016-04-13 02:59:30,69
120,2016-04-13 02:59:45,69
121,2016-04-13 02:59:50,70
122,2016-04-13 03:00:00,70
123,2016-04-13 03:00:10,70
124,2016-04-13 03:00:25,70
125,2016-04-13 03:00:40,70
126,2016-04-13 03:00:55,70
127,2016-04-13 03:01:00,69
128,2016-04-13 03:01:15,69
129,2016-04-13 03:01:20,70
130,2016-04-13 03:01:35,70
131,2016-04-13 03:01:40,69
132,2016-04-13 03:01:55,69
133,2016-04-13 03:02:00,70
134,2016-04-13 03:02:10,69
135,2016-04-13 03:02:20,70
136,2016-04-13 03:02:30,69
137,2016-04-13 03:02:40,68
138,2016-04-13 03:02:55,68
139,2016-04-13 03:03:00,67
140,2016-04-13 03:03:10,68
141,2016-04-13 03:03:25,68
142,2016-04-13 03:03:30,69
143,2016-04-13 03:03:40,68
144,2016-04-13 03:03:55,68
145,2016-04-13 03:04:10,68
146,2016-04-13 03:04:20,67
147,2016-04-13 03:04:30,66
148,2016-04-13 03:04:40,64
149,2016-04-13 03:04:50,64
150,2016-04-13 03:05:00,65
151,2016-04-13 03:05:10,67
152,2016-04-13 03:05:25,67
153,2016-04-13 03:05:30,66
154,2016-04-13 03:05:45,66
155,2016-04-13 03:05:50,64
156,2016-04-13 03:06:00,62
157,2016-04-13 03:06:10,60
158,2016-04-13 03:06:20,58
159,2016-04-13 03:06:30,59
160,2016-04-13 03:06:40,63
161,2016-04-13 03:06:50,64
162,2016-04-13 03:07:00,65
163,2016-04-13 03:07:10,68
164,2016-04-13 03:07:25,68
165,2016-04-13 03:07:40,65
166,2016-04-13 03:07:50,64
167,2016-04-13 03:08:00,60
168,2016-04-13 03:08:10,59
169,2016-04-13 03:08:20,61
170,2016-04-13 03:08:30,60
171,2016-04-13 03:08:40,59
172,2016-04-13 03:08:55,59
173,2016-04-13 03:09:10,56
174,2016-04-13 03:09:15,59
175,2016-04-13 03:09:30,59
176,2016-04-13 03:09:40,90
177,2016-04-13 03:09:50,66
178,2016-04-13 03:10:00,59
179,2016-04-13 03:10:10,58
180,2016-04-13 03:10:25,58
181,2016-04-13 03:10:40,57
182,2016-04-13 03:10:50,59
183,2016-04-13 03:11:00,58
184,2016-04-13 03:11:10,62
185,2016-04-13 03:11:20,61
186,2016-04-13 03:11:30,64
187,2016-04-13 03:11:40,62
188,2016-04-13 03:11:50,62
189,2016-04-13 03:12:00,57
190,2016-04-13 03:12:10,63
191,2016-04-13 03:12:20,63
192,2016-04-13 03:12:30,61
193,2016-04-13 03:12:40,63
194,2016-04-13 03:12:50,62
195,2016-04-13 03:13:00,63
196,2016-04-13 03:13:05,63
197,2016-04-13 03:13:20,57
198,2016-04-13 03:13:30,58
199,2016-04-13 03:13:45,58
200,2016-04-13 03:14:00,59
201,2016-04-13 03:14:10,59
202,2016-04-13 03:14:20,58
203,2016-04-13 03:14:30,57
204,2016-04-13 03:14:40,59
205,2016-04-13 03:14:50,60
206,2016-04-13 03:15:05,60
207,2016-04-13 03:15:20,64
208,2016-04-13 03:15:25,64
209,2016-04-13 03:15:40,60
